Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-09-24 00:00:00-04:00,0.8552418300018516,0.8672318085207177,0.7073731980573529,0.7573294043540955,518656090,0.0,0.0
1998-09-25 00:00:00-04:00,0.7273557971585388,0.7373467117751656,0.6574178734851215,0.7173640131950378,121255834,0.0,0.0
1998-09-28 00:00:00-04:00,0.759327768813099,0.8132793970471918,0.7353487300709043,0.7713168263435364,89772883,0.0,0.0
1998-09-29 00:00:00-04:00,0.7893003000787175,0.8032884193279344,0.7633239943557985,0.781307578086853,39289536,0.0,0.0
1998-09-30 00:00:00-04:00,0.7543312463431822,0.7673202675248069,0.6913878117463348,0.7203613519668579,44113766,0.0,0.0
1998-10-01 00:00:00-04:00,0.6813959978773801,0.6913877820791228,0.6394333839416504,0.6394333839416504,44433101,0.0,0.0
1998-10-02 00:00:00-04:00,0.6474261049586925,0.6674087496811019,0.5595045437458023,0.6394333839416504,46816704,0.0,0.0
1998-10-05 00:00:00-04:00,0.6254462116844627,0.6254462116844627,0.5575064235002298,0.5734918117523193,33832339,0.0,0.0
1998-10-06 00:00:00-04:00,0.6114581748191915,0.6114581748191915,0.5115466643099108,0.5834828019142151,40270349,0.0,0.0
1998-10-07 00:00:00-04:00,0.5595047294872981,0.5694956476588794,0.49356311559677124,0.49356311559677124,35058355,0.0,0.0
1998-10-08 00:00:00-04:00,0.44560500763399147,0.46758587797430334,0.4036424120588894,0.46358948945999146,57172262,0.0,0.0
1998-10-09 00:00:00-04:00,0.49156486988067627,0.515542984059532,0.4715822206064725,0.49156486988067627,38519712,0.0,0.0
1998-10-12 00:00:00-04:00,0.511546589231286,0.511546589231286,0.5035538673400879,0.5035538673400879,28198368,0.0,0.0
1998-10-13 00:00:00-04:00,0.5045530151754205,0.5075503065617591,0.46758587806865287,0.46958401799201965,15430694,0.0,0.0
1998-10-14 00:00:00-04:00,0.4655877416180912,0.5135448987615636,0.4655877416180912,0.4815731346607208,30935520,0.0,0.0
1998-10-15 00:00:00-04:00,0.4815729734461439,0.5235365110402463,0.4815729734461439,0.5215383172035217,29144966,0.0,0.0
1998-10-16 00:00:00-04:00,0.5335274383054206,0.5834827251469182,0.5275329103794487,0.5754900574684143,43343942,0.0,0.0
1998-10-19 00:00:00-04:00,0.5934745639135489,0.7353486931872889,0.5914764239814956,0.7253578305244446,78151392,0.0,0.0
1998-10-20 00:00:00-04:00,0.7833056249661188,0.8292654385586361,0.723359433446768,0.7433412075042725,109292198,0.0,0.0
1998-10-21 00:00:00-04:00,0.7833058447139581,0.8232711427344667,0.7553304729715962,0.8082839250564575,65703053,0.0,0.0
1998-10-22 00:00:00-04:00,0.8272673005584821,0.8552417408180301,0.7873019593493553,0.8242700099945068,53323142,0.0,0.0
1998-10-23 00:00:00-04:00,0.8252692490496238,0.8352601106493579,0.7912993524620029,0.8012902140617371,32309798,0.0,0.0
1998-10-26 00:00:00-05:00,0.9591508321732547,1.1749593102882674,0.9391681269827877,1.1729611158370972,389981434,0.0,0.0
1998-10-27 00:00:00-05:00,1.3028462341806688,1.45171401292007,1.282863636304086,1.3188316822052002,571032634,0.0,0.0
1998-10-28 00:00:00-05:00,1.2468951231365997,1.3547992204035373,1.2229160364043978,1.2788667678833008,254555136,0.0,0.0
1998-10-29 00:00:00-05:00,1.2988492322763732,1.3258246268763736,1.2748702585448222,1.2768683433532715,81150854,0.0,0.0
1998-10-30 00:00:00-05:00,1.2928543094194918,1.3488050535932408,1.279866155195192,1.3288233280181885,94944960,0.0,0.0
1998-11-02 00:00:00-05:00,1.38876915515894,1.402757272576235,1.3388138749898943,1.3428101539611816,123707866,0.0,0.0
1998-11-03 00:00:00-05:00,1.3587955958514135,1.366789240477597,1.3268238427240628,1.3428101539611816,45978451,0.0,0.0
1998-11-04 00:00:00-05:00,1.3667893820358232,1.3707856614210048,1.3058431601986644,1.3218286037445068,44632685,0.0,0.0
1998-11-05 00:00:00-05:00,1.2948531985834886,1.3388140104079616,1.2588841848314167,1.297850489616394,66085114,0.0,0.0
1998-11-06 00:00:00-05:00,1.2848613378343134,1.349803832330566,1.2828631440144893,1.3428101539611816,48966509,0.0,0.0
1998-11-09 00:00:00-05:00,1.3528013769746343,1.6465413570404053,1.3508031827797586,1.6465413570404053,202355366,0.0,0.0
1998-11-10 00:00:00-05:00,1.8014044628949895,2.2380175867518477,1.7764262761063954,2.092146158218384,577698739,0.0,0.0
1998-11-11 00:00:00-05:00,2.034198264772526,2.1620842048244406,1.8243833262798805,1.8533577919006348,306874656,0.0,0.0
1998-11-12 00:00:00-05:00,1.8203870598384322,2.1241178811533747,1.798407142555371,2.0142154693603516,223699450,0.0,0.0
1998-11-13 00:00:00-05:00,2.078159201501484,2.1251172014322104,1.9143042289531145,1.9812450408935547,135688608,0.0,0.0
